especie_agregada,id_especie_agregada
"EQUINOS, BOVINOS, PORCINOS, CAPRINOS, OVINOS, CONEJOS, AVES (PRODUCCION Y ORNATO), CANINOS Y FELINOS",218
CANINOS Y FELINOS HEMBRAS,219
"BOVINOS CARNE Y LECHE, OVINOS, PORCINOS, EQUINOS, CANINOS Y FELINOS DOMESTICOS",220
"EQUINOS, BOVINOS, PORCINOS, CAPRINOS, OVINOS, CONEJOS, AVES (PRODUCCIÓN Y ORNATO), CANINOS Y FELINOS DOMESTICOS",221
"PORCINOS, BOVINOS, OVINOS, CAPRINOS, EQUINOS, LEPORIDOS, CANINOS Y FELINOS",222
"BOVINOS CARNE, EQUINOS, OVINOS CARNE, CAPRINOS CARNE Y LEHCE, PORCINOS AVES, CANINOS Y FELINOS",223
"BOVINOS (PRODUCTORES DE CARNE Y LECHE), PORCINOS, OVINOS, EQUINOS, CANINOS Y FELINOS",224
"BOVINOS CARNE Y LECHE, PORCINOPS, CAPRINOS, OVINOS, EQUINOS, CANINOS Y FELINOS",225
"BOVINOS (CARNE Y LECHE). PORCINOS. OVINOS, CAPRINOS, EQUINOS, CANINOS Y FELINOS",226
"BOVINOS (CARNE Y LECHE) OVINOS, PORCINOS, CANINOS Y FELINOS DOMESTICOS",227
"BOVINOS LECHE YCARNE, EQUINOS, OVINOS, CAPRINOS, PORCINOS, CANINOS Y FELINOS",228
"BOVINOS (PRODUCTORES DE LECHE Y CARNE), EQUINOS, OVINOS, CAPRINOS, PORCINOS, CANINOS Y FELINOS DOMESTICOS",229
"BOVINOS (PRODUCTORES DE CARNE Y LECHE), CANINOS Y FELINOS",230
